date,api_baixa_raw,api_baixa_adjusted,ajustes_demais,gerado_total_raw,gerado_total_adjusted,extrato_total,dif_raw,dif_adjusted
2026-01-01,7866.66,7866.66,75980.38,83847.04,83847.04,83847.04,0.0,0.0
2026-01-02,0.0,0.0,-429.76,-429.76,-429.76,-429.76,0.0,0.0
2026-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-04,6146.79,6146.79,0.0,6146.79,6146.79,6146.79,0.0,0.0
2026-01-05,1104.04,1104.04,-85000.0,-83895.96,-83895.96,-83895.96,0.0,0.0
2026-01-06,3365.55,3365.55,-874.19,2491.36,2491.36,2491.36,0.0,0.0
2026-01-07,7840.54,7840.54,-133.35,7707.19,7707.19,7707.19,0.0,0.0
2026-01-08,132.7,132.7,-53.37,79.33,79.33,79.33,0.0,0.0
2026-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-11,419.47,419.47,0.0,419.47,419.47,419.47,0.0,0.0
2026-01-12,0.0,0.0,-1621.75,-1621.75,-1621.75,-1621.75,0.0,0.0
2026-01-13,290.97,290.97,0.0,290.97,290.97,290.97,0.0,0.0
2026-01-14,523.83,523.83,0.0,523.83,523.83,523.83,0.0,0.0
2026-01-15,5387.32,5387.32,668.6,6055.92,6055.92,6055.92,0.0,0.0
2026-01-16,6829.77,6829.77,1074.35,7904.12,7904.12,7904.12,0.0,0.0
2026-01-17,9016.37,9016.37,290.58,9306.95,9306.95,9306.95,0.0,0.0
2026-01-18,3231.68,3231.68,0.0,3231.68,3231.68,3231.68,0.0,0.0
2026-01-19,535.1,535.1,-40236.29,-39701.19,-39701.19,-39701.19,0.0,0.0
2026-01-20,1039.38,1039.38,16.45,1055.83,1055.83,1055.83,0.0,0.0
2026-01-21,1388.07,1388.07,-72.67,1315.4,1315.4,1315.4,0.0,0.0
2026-01-22,1850.27,1850.27,-88.9,1761.37,1761.37,1761.37,0.0,0.0
2026-01-23,2769.45,2769.45,-290.58,2478.87,2478.87,2478.87,0.0,0.0
2026-01-24,25559.36,25559.36,0.0,25559.36,25559.36,25559.36,0.0,0.0
2026-01-25,1989.95,1989.95,61.99,2051.94,2051.94,2051.94,0.0,0.0
2026-01-26,236.25,236.25,0.0,236.25,236.25,236.25,0.0,0.0
2026-01-27,1717.33,1717.33,-23.45,1693.88,1693.88,1693.88,0.0,0.0
2026-01-28,2219.11,2219.11,-46.9,2172.21,2172.21,2172.21,0.0,0.0
2026-01-29,5283.79,5283.79,-53.34,5230.45,5230.45,5230.45,0.0,0.0
2026-01-30,2985.02,2985.02,207.81,3192.83,3192.83,3192.83,0.0,0.0
2026-01-31,3692.56,3692.56,-765.92,2926.64,2926.64,2926.64,0.0,0.0
