data_competencia,receita_bruta,devolucoes_cancelamentos,receita_liquida,comissao_ml,frete_ml,estorno_taxas,resultado_variavel
2026-02-01,1191.83,0.0,1191.83,149.34,96.28,0.0,946.21
2026-02-02,5933.67,18.9,5914.77,790.94,396.58,8.52,4735.77
2026-02-03,6710.84,358.46,6352.38,811.56,338.13,55.38,5258.07
2026-02-04,3792.43,0.0,3792.43,437.95,190.72,0.0,3163.76
2026-02-05,2235.53,0.0,2235.53,275.96,215.52,0.0,1744.05
2026-02-06,4430.31,0.0,4430.31,578.91,266.24,0.0,3585.16
2026-02-07,3938.83,0.0,3938.83,472.08,289.4,0.0,3177.35
2026-02-08,1017.94,0.0,1017.94,144.25,91.85,0.0,781.84
2026-02-09,4621.26,697.6,3923.66,578.04,267.37,126.92,3205.17
2026-02-10,9121.23,60.9,9060.33,1134.19,442.45,14.06,7497.75
2026-02-11,2492.4,402.9,2089.5,291.99,163.88,68.3,1701.93
2026-02-12,2996.45,0.0,2996.45,369.01,136.82,0.0,2490.62
2026-02-13,6369.34,19.9,6349.44,733.7,412.99,8.64,5211.39
2026-02-14,2358.62,35.15,2323.47,306.07,167.48,11.47,1861.39
2026-02-15,168.58,0.0,168.58,35.27,12.87,0.0,120.44
TOTAL,57379.26,1593.81,55785.45,7109.26,3488.58,293.29,45480.9
