data,gerado_api_nova_vendas_liquidadas,extrato_base_vendas_liquidadas,extrato_base_refund_in_mediation_legado,extrato_base_non_sale_legado,gerado_legado_total,gerado_modelo_total,extrato_total_dia,diferenca_extrato_menos_gerado
01/02/2026,0.0,0.0,0.0,-350.0,-350.0,-350.0,-350.0,0.0
02/02/2026,0.0,0.0,-734.26,0.0,-734.26,-734.26,-734.26,0.0
03/02/2026,0.0,0.0,-6.14,0.0,-6.14,-6.14,-6.14,0.0
04/02/2026,1879.11,1879.11,-1879.11,0.0,-1879.11,0.0,-0.0,-0.0
05/02/2026,2992.29,2992.29,-2036.83,-700.0,-2736.83,255.46,255.46,-0.0
06/02/2026,4852.46,4852.46,-80.85,0.0,-80.85,4771.61,4771.61,0.0
07/02/2026,2480.24,2480.24,56.24,-5000.0,-4943.76,-2463.52,-2463.52,0.0
08/02/2026,4937.61,4937.61,0.0,-627.48,-627.48,4310.13,4310.13,0.0
09/02/2026,245.74,245.74,-3887.06,-1482.7,-5369.76,-5124.02,-5124.02,0.0
10/02/2026,3418.4,3418.4,-851.56,-1293.54,-2145.1,1273.3,1273.3,-0.0
11/02/2026,1362.99,1362.99,170.46,0.0,170.46,1533.45,1533.45,0.0
12/02/2026,2462.14,2462.14,-44.9,10.9,-34.0,2428.14,2428.14,0.0
13/02/2026,3878.17,3878.17,-349.6,-3636.39,-3985.99,-107.82,-107.82,0.0
14/02/2026,2857.78,2857.78,-46.9,0.0,-46.9,2810.88,2810.88,-0.0
15/02/2026,4007.61,4007.61,0.0,-12153.06,-12153.06,-8145.45,-8145.45,-0.0
TOTAL,35374.54,35374.54,-9690.51,-25232.27,-34922.78,451.76,451.76,0.0
