date,receita_bruta,devolucoes_cancelamentos,receita_liquida,comissao_ml,frete_ml,estorno_taxas,resultado_variavel
2026-01-01,968.02,0.0,968.02,174.94,76.82,0.0,716.26
2026-01-02,16079.86,9700.0,6379.86,1801.24,452.19,0.0,4126.43
2026-01-03,1592.72,0.0,1592.72,189.99,121.88,0.0,1280.85
2026-01-04,1118.38,0.0,1118.38,153.64,85.36,0.0,879.38
2026-01-05,3813.74,333.86,3479.88,431.19,203.4,0.0,2845.29
2026-01-06,11792.07,919.7,10872.37,1430.59,577.6,0.0,8864.18
2026-01-07,6249.4,521.7,5727.7,720.67,309.77,0.0,4697.26
2026-01-08,5843.76,500.9,5342.86,695.12,452.63,0.0,4195.11
2026-01-09,14657.9,0.0,14657.9,1760.34,412.17,0.0,12485.39
2026-01-10,3889.97,149.1,3740.87,493.48,180.11,0.0,3067.28
2026-01-11,2516.56,0.0,2516.56,327.11,151.77,0.0,2037.68
2026-01-12,6790.76,246.5,6544.26,893.89,361.8,0.0,5288.57
2026-01-13,6343.48,401.75,5941.73,817.92,377.69,0.0,4746.12
2026-01-14,9750.8,0.0,9750.8,1235.83,343.25,0.0,8171.72
2026-01-15,6761.99,332.69,6429.3,911.61,399.47,0.0,5118.22
2026-01-16,7492.02,436.6,7055.42,935.81,451.1,0.0,5668.51
2026-01-17,848.69,282.9,565.79,116.84,68.55,0.0,380.4
2026-01-18,655.5,0.0,655.5,103.55,76.33,0.0,475.62
2026-01-19,6634.67,509.8,6124.87,899.14,447.47,0.0,4778.26
2026-01-20,7204.74,259.0,6945.74,960.85,400.82,0.0,5584.07
2026-01-21,12187.12,1811.78,10375.34,1675.15,390.11,0.0,8310.08
2026-01-22,4314.08,840.69,3473.39,550.27,382.53,0.0,2540.59
2026-01-23,2858.06,1420.3,1437.76,292.07,178.88,0.0,966.81
2026-01-24,2022.03,673.84,1348.19,239.38,176.89,0.0,931.92
2026-01-25,1023.21,289.0,734.21,140.89,89.65,0.0,503.67
2026-01-26,9399.19,737.3,8661.89,1331.93,536.29,0.0,6793.67
2026-01-27,10815.77,1862.5,8953.27,1541.65,386.11,0.0,7025.51
2026-01-28,7503.13,10000.0,-2496.87,1141.49,257.48,0.0,-3895.84
2026-01-29,3330.29,319.8,3010.49,448.26,233.19,0.0,2329.04
2026-01-30,1597.75,804.85,792.9,205.9,134.55,0.0,452.45
2026-01-31,3872.53,0.0,3872.53,480.85,230.51,0.0,3161.17
2026-02-01,1191.83,0.0,1191.83,149.34,96.28,0.0,946.21
2026-02-02,5933.67,18.9,5914.77,790.94,396.58,8.52,4735.77
2026-02-03,6710.84,358.46,6352.38,811.56,338.13,55.38,5258.07
2026-02-04,3792.43,0.0,3792.43,437.95,190.72,0.0,3163.76
2026-02-05,2235.53,0.0,2235.53,275.96,215.52,0.0,1744.05
2026-02-06,4430.31,0.0,4430.31,578.91,266.24,0.0,3585.16
2026-02-07,3938.83,0.0,3938.83,472.08,289.4,0.0,3177.35
2026-02-08,1017.94,0.0,1017.94,144.25,91.85,0.0,781.84
2026-02-09,4621.26,697.6,3923.66,578.04,267.37,126.92,3205.17
2026-02-10,9121.23,60.9,9060.33,1134.19,442.45,14.06,7497.75
2026-02-11,2492.4,402.9,2089.5,291.99,163.88,68.3,1701.93
2026-02-12,2996.45,0.0,2996.45,369.01,136.82,0.0,2490.62
2026-02-13,6369.34,19.9,6349.44,733.7,412.99,8.64,5211.39
2026-02-14,2358.62,35.15,2323.47,306.07,167.48,11.47,1861.39
2026-02-15,168.58,0.0,168.58,35.27,12.87,0.0,120.44
2026-02-16,1866.54,246.29,1620.25,243.24,126.15,65.28,1316.14
2026-02-17,3215.34,108.28,3107.06,335.1,175.66,23.68,2619.98
