data,linhas_extrato,linhas_payment_api,linhas_legado,api_baixas_dia_net_api,legado_ajustes_extrato_dia,modelo_total_dia,extrato_total_dia,diferenca_extrato_menos_modelo
01/01/2026,9,4,5,4511.04,-3988.24,522.8,522.8,0.0
02/01/2026,12,0,12,0.0,-102.53,-102.53,-102.53,0.0
03/01/2026,6,6,0,644.6,0.0,644.6,644.6,0.0
04/01/2026,8,4,4,678.09,-1000.0,-321.91,-321.91,0.0
05/01/2026,13,4,9,787.31,-1614.15,-826.84,-826.84,0.0
06/01/2026,20,7,13,1911.39,-1629.21,282.18,282.18,0.0
07/01/2026,8,4,4,498.17,10.9,509.07,509.07,0.0
08/01/2026,10,3,7,219.73,-607.15,-387.42,-387.42,0.0
09/01/2026,4,0,4,0.0,8.11,8.11,8.11,0.0
10/01/2026,18,10,8,1787.28,-4098.14,-2310.86,-2310.86,0.0
11/01/2026,11,10,1,1795.65,8.99,1804.64,1804.64,0.0
12/01/2026,15,5,10,444.13,-951.38,-507.25,-507.25,0.0
13/01/2026,14,7,7,1420.7,-1435.56,-14.86,-14.86,0.0
14/01/2026,13,7,6,924.84,-956.89,-32.05,-32.05,0.0
15/01/2026,25,12,13,2591.2,-689.89,1901.31,1901.31,0.0
16/01/2026,37,16,21,3341.84,-7733.18,-4391.34,-4391.34,0.0
17/01/2026,32,19,13,3340.42,316.87,3657.29,3657.29,0.0
18/01/2026,17,17,0,5665.28,0.0,5665.28,5665.28,0.0
19/01/2026,22,4,18,5097.74,-8677.53,-3579.79,-3579.79,0.0
20/01/2026,30,15,15,2085.15,-8641.6,-6556.45,-6556.45,0.0
21/01/2026,24,9,15,2538.2,625.87,3164.07,3164.07,0.0
22/01/2026,29,10,19,2368.8,-600.83,1767.97,1767.97,0.0
23/01/2026,36,18,18,4454.03,-4270.98,183.05,183.05,0.0
24/01/2026,23,11,12,3006.8,624.12,3630.92,3630.92,0.0
25/01/2026,25,15,10,7470.79,-1921.94,5548.85,5548.85,0.0
26/01/2026,168,129,39,48519.75,-61618.54,-13098.79,-13098.79,0.0
27/01/2026,31,1,30,102.84,-1064.65,-961.81,-961.81,0.0
28/01/2026,9,0,9,0.0,-163.94,-163.94,-163.94,0.0
29/01/2026,13,0,13,0.0,743.1,743.1,743.1,0.0
30/01/2026,24,0,24,0.0,-163.23,-163.23,-163.23,0.0
31/01/2026,0,0,0,0.0,0.0,0.0,0.0,0.0
TOTAL,706,347,359,106205.77,-109591.6,-3385.83,-3385.83,0.0
