INITIAL_BALANCE;CREDITS;DEBITS;FINAL_BALANCE
0,00;216496,32;219882,15;-3385,83

RELEASE_DATE;TRANSACTION_TYPE;REFERENCE_ID;TRANSACTION_NET_AMOUNT;PARTIAL_BALANCE
01-01-2026;payout;139632176183;-350,00;-350,00
01-01-2026;payment;139636302479;-1172,33;-1522,33
01-01-2026;payment;139636133731;-1120,47;-2642,80
01-01-2026;payment;140284411096;-57,00;-2699,80
01-01-2026;payment;138199281600;3994,84;1295,04
01-01-2026;payment;138157090675;59,85;1354,89
01-01-2026;payment;138651457556;413,86;1768,75
01-01-2026;payment;137262603377;42,49;1811,24
01-01-2026;payout;140291550258;-1288,44;522,80
02-01-2026;reserve_for_dispute;138913863776;-88,57;434,23
02-01-2026;mediation;139749344683;-4850,00;-4415,77
02-01-2026;payment;139749344683;4318,05;-97,72
02-01-2026;refund;139749344683;531,95;434,23
02-01-2026;mediation;140422465618;-2850,00;-2415,77
02-01-2026;mediation;140422485450;-2000,00;-4415,77
02-01-2026;payment;140422465618;2318,05;-2097,72
02-01-2026;refund;140422465618;531,95;-1565,77
02-01-2026;payment;140422485450;2000,00;434,23
02-01-2026;mediation;139562683028;-109,90;324,33
02-01-2026;payment;139562683028;82,75;407,08
02-01-2026;refund;139562683028;13,19;420,27
03-01-2026;payment;139203929962;129,93;550,20
03-01-2026;payment;137984713337;192,95;743,15
03-01-2026;payment;138624282840;100,00;843,15
03-01-2026;payment;138470835041;59,85;903,00
03-01-2026;payment;138422010977;106,01;1009,01
03-01-2026;payment;137346866576;55,86;1064,87
04-01-2026;payment;139054224668;244,56;1309,43
04-01-2026;payment;139315606888;89,62;1399,05
04-01-2026;payment;137956201281;134,65;1533,70
04-01-2026;payment;136978696919;209,26;1742,96
04-01-2026;mediation;137943496999;-797,70;945,26
04-01-2026;payment;137943496999;627,12;1572,38
04-01-2026;refund;137943496999;170,58;1742,96
04-01-2026;payout;140655181652;-1000,00;742,96
05-01-2026;payment;140051770645;-816,28;-73,32
05-01-2026;payment;140701705736;-757,87;-831,19
05-01-2026;payment;138872716908;250,09;-581,10
05-01-2026;payment;138832808337;86,27;-494,83
05-01-2026;payment;138783129376;379,41;-115,42
05-01-2026;payout;140078200469;-40,00;-155,42
05-01-2026;mediation;140087737157;-333,86;-489,28
05-01-2026;payment;140087737157;270,35;-218,93
05-01-2026;refund;140087737157;63,51;-155,42
05-01-2026;mediation;138151129880;-267,80;-423,22
05-01-2026;refund;138151129880;57,88;-365,34
05-01-2026;reserve_for_dispute;138151129880;209,92;-155,42
05-01-2026;payment;139213716686;71,54;-83,88
06-01-2026;payment;140207271759;-709,99;-793,87
06-01-2026;payment;140207380399;-321,00;-1114,87
06-01-2026;payment;137641901085;53,35;-1061,52
06-01-2026;payment;139313216580;227,26;-834,26
06-01-2026;payment;138669872419;693,92;-140,34
06-01-2026;mediation;140228706789;-57,99;-198,33
06-01-2026;mediation;140880408350;-29,00;-227,33
06-01-2026;payment;140880408350;29,00;-198,33
06-01-2026;payment;140228706789;34,68;-163,65
06-01-2026;refund;140228706789;23,31;-140,34
06-01-2026;payment;139045221744;270,27;129,93
06-01-2026;payment;138378440869;359,25;489,18
06-01-2026;payment;137369762181;222,52;711,70
06-01-2026;payout;140918245036;-100,00;611,70
06-01-2026;mediation;140132250075;-832,71;-221,01
06-01-2026;payment;140132250075;729,88;508,87
06-01-2026;refund;140132250075;102,83;611,70
06-01-2026;payment;138831661975;84,82;696,52
06-01-2026;payment;136565909343;20,76;717,28
06-01-2026;payment;140961637762;-518,98;198,30
07-01-2026;mediation;141009085184;-521,70;-323,40
07-01-2026;refund;141009085184;116,47;-206,93
07-01-2026;payment;141009085184;405,23;198,30
07-01-2026;shipping;139026984141;10,90;209,20
07-01-2026;payment;139673707916;22,47;231,67
07-01-2026;payment;139010170535;91,55;323,22
07-01-2026;payment;136859385813;156,89;480,11
07-01-2026;payment;139028602698;227,26;707,37
08-01-2026;reserve_for_dispute;137820920749;209,04;916,41
08-01-2026;payment;140496724089;-169,03;747,38
08-01-2026;payment;138589575676;39,40;786,78
08-01-2026;payment;139030048789;91,55;878,33
08-01-2026;mediation;141199931294;-500,90;377,43
08-01-2026;payment;141199931294;417,34;794,77
08-01-2026;refund;141199931294;83,56;878,33
08-01-2026;payment;139376839014;88,78;967,11
08-01-2026;payment;141215405790;-569,25;397,86
08-01-2026;reserve_for_dispute;138209751237;-77,91;319,95
09-01-2026;payout;140686543155;-200,00;119,95
09-01-2026;cashback;141355673172;359,91;479,86
09-01-2026;payment;140704272795;-119,90;359,96
09-01-2026;payout;140705030609;-31,90;328,06
10-01-2026;mediation;137617703230;-631,65;-303,59
10-01-2026;refund;137617703230;75,80;-227,79
10-01-2026;reserve_for_dispute;137617703230;527,71;299,92
10-01-2026;payment;139712861114;118,21;418,13
10-01-2026;payment;139255269695;61,03;479,16
10-01-2026;payout;140779626787;-70,00;409,16
10-01-2026;payment;139129400507;88,74;497,90
10-01-2026;payment;139159212087;137,72;635,62
10-01-2026;payment;139859417764;432,64;1068,26
10-01-2026;payment;139859500746;432,64;1500,90
10-01-2026;payment;139414147108;179,98;1680,88
10-01-2026;mediation;140794107861;-149,10;1531,78
10-01-2026;payment;140794107861;107,79;1639,57
10-01-2026;refund;140794107861;41,31;1680,88
10-01-2026;payment;139099194844;87,94;1768,82
10-01-2026;payment;137002983591;55,86;1824,68
